vote_id,selected_tweet_id_str,voted_at,matchup_id
32937,1421829532525514754,2023-12-30 15:09:51.731779,511db70d-9821-40f1-80ed-409609ba22c2
32938,384408932061417472,2023-12-30 15:09:54.305183,472bdc2c-cc86-4bb0-b8a5-33b69b696817
32939,1569768600172646400,2023-12-30 15:10:05.38106,f828636a-a1cd-4ff1-9201-5617d8425008
32940,1271267475963838467,2023-12-30 15:10:19.297567,0ac4a231-a5e2-4bb4-ba59-3cbad6352bdc
32941,1531750018100695041,2023-12-30 15:10:26.159772,8ccd5071-62f4-4913-836b-39878d33dea4
32942,372490479696220161,2023-12-30 15:10:35.304464,5f656ce7-2fd4-4256-8c7b-aec69176f0e9
32943,1076200218108997632,2023-12-30 15:10:36.366008,ba6fbc76-5d6d-4fd7-978f-63bf7fabc815
32944,1033010780352929792,2023-12-30 15:10:46.34052,53c5e997-11ad-4b0e-bc75-241e74039562
32945,954047187738025984,2023-12-30 15:10:57.940276,9a24d2a6-681a-466b-9c5b-3bff049776b2
32946,1111190076426457088,2023-12-30 15:10:59.653001,b7a24760-58bc-49a5-ab37-79f27b28a1bd
32947,931632953062391808,2023-12-30 15:11:17.171537,fc9d83f6-708b-4525-bb53-356131a001e8
32948,1030550049888120833,2023-12-30 15:11:25.948586,0106f9cc-5224-4fdd-a71e-0f151378d59c
32949,1003935966443311104,2023-12-30 15:11:39.62666,cb276c98-27bb-4f64-b171-04c06e0e6c8b
32950,693085454720114688,2023-12-30 15:11:47.985226,7fe4a431-46c8-4c24-83a7-dc8b0a1151a8
32951,171450835388203008,2023-12-30 15:11:53.114668,20b17102-43df-4d27-be06-524af3af9cff
32952,1513519439509082126,2023-12-30 15:11:59.564188,b3dcd35f-8143-44ba-a26e-7bc1a1e96103
32953,1220104068892327937,2023-12-30 15:12:05.008149,3dfe95a7-c9dc-48e7-bedf-b9f11d21b225
32954,1103442178787999745,2023-12-30 15:12:12.789633,255c2146-b675-4ed5-9b7e-75d7842e4e00
32955,1158045307562856448,2023-12-30 15:12:25.913398,a8c8a919-9cc8-4d84-9b81-64ed7eacb9dc
32956,993859556534116353,2023-12-30 15:30:30.627105,618bae89-3e7a-47a9-a623-dfcc2d862d99
32957,857268898508541955,2023-12-30 15:30:51.779565,4f8b5067-67fd-4f17-9e86-9b2549640021
32958,768852936860569600,2023-12-30 15:31:40.990541,0dc2c454-5492-43ab-83d2-39c2789b33db
32959,729825715366051841,2023-12-30 15:33:26.295156,84974f69-8012-42d8-bf9c-c3c6dfa89278
32960,833857935168110592,2023-12-30 15:33:43.026872,ad215933-9f8e-4a3f-871d-b167632ecc63
32961,768852936860569600,2023-12-30 15:33:50.744456,de126cd1-9dcc-4b28-a3af-bbf05a0d5434
32962,1569768600172646400,2023-12-30 15:34:14.589078,80a2181f-cf39-4ea6-a76f-03f7fce7fc81
32963,953430272808292352,2023-12-30 15:34:41.144095,31015bf7-9f6c-45a1-8f0f-a3e06328ed8d
32964,965816492221747200,2023-12-30 15:35:03.233899,30bacce1-45a3-4418-b8ab-b6856ea907cc
32965,1029181667296985088,2023-12-30 15:35:44.005345,9442ec43-fb4a-4921-a6b1-467ae08b24a4
32966,1049755320501903360,2023-12-30 15:37:43.986998,731a7268-aa00-4c34-993b-2d530a24041c
32967,1334964560382537729,2023-12-30 15:37:53.654345,3397e18d-2ba8-4431-b5da-bbb48872a57c
32968,1218339538021408768,2023-12-30 15:38:12.236116,c7ae0185-0c72-474b-aac5-6d354dcf7d8d
32969,1065782779290505218,2023-12-30 15:38:48.041816,40acf335-27fe-44b5-b99a-1c92d6cc4ebc
32970,1576914552205496321,2023-12-30 15:38:58.870182,06a551af-9363-4407-977a-962e5d9ed6b7
32971,1345050273035804674,2023-12-30 15:39:22.553291,40e6084f-f9e8-4ecb-86aa-f52465774c27
32972,1034165534131212289,2023-12-30 15:42:06.099409,de92c101-8e97-46e3-a965-a40977c9d4ac
32973,1066102146230362113,2023-12-30 15:42:31.900474,c818973f-24d1-42e4-b52f-99d3a20cff17
32974,676423039513329664,2023-12-30 15:44:00.50848,e649e684-e57f-49e6-892b-05121ce28cf6
32975,1237756028810297344,2023-12-30 15:44:14.117028,42504c08-b0ab-4bfb-901b-21940a7eff7d
32976,1030550049888120833,2023-12-30 15:44:31.933503,2d066456-41c9-4213-8794-0b03207e1ada
32977,1524399397815083010,2023-12-30 15:44:43.251915,3d9b7ed0-55c7-4e74-8e34-84de1fa156f9
32978,64889433505284096,2023-12-30 15:44:54.158173,98576b04-aac8-481d-9fe6-15053dba9d1e
32979,621563442277715969,2023-12-30 15:45:41.538469,60ef5fba-37af-45e0-b86a-850374347546
32980,1707217656254714342,2023-12-30 15:46:19.314666,ed88a86f-804c-4156-a476-3a368ad2af84
32981,1444367077767192576,2023-12-30 15:46:32.87881,2fe83bcd-8836-4d08-ad2c-cc04b4a7ba8a
32982,293454323403350019,2023-12-30 16:10:11.01175,1390788f-59ec-4c52-a01f-8fc6a1cdcd2a
32983,782349934691581953,2023-12-30 16:10:20.390869,2c4c9245-dae5-4b75-862a-fe09abff8364
32984,1237054627603873796,2023-12-30 16:10:32.772114,49671399-2454-445c-9c10-1266f6ebb77f
32985,611019852497743872,2023-12-30 16:10:46.138881,dbaeca38-4b03-4e4b-bf09-50558e887c5f
32986,1275990670663012352,2023-12-30 16:11:01.073467,0401b2af-6cad-44d2-9bee-b348ae4b1f40
32987,973684018335031296,2023-12-30 16:11:15.290137,3a44dde8-543a-49d0-9cbe-4bf3aedb6530
32988,1437532566945341441,2023-12-30 16:11:35.204884,ca29a71a-7605-4719-b6a8-616e9d008bdd
32989,972213080196337664,2023-12-30 16:11:47.547135,640330d6-1665-4bf8-a972-3bd72c5df148
32990,1076353573758386176,2023-12-30 16:11:53.015999,74f6efed-1124-43b5-a8ff-35ae401cf48e
32991,1064603805319380992,2023-12-30 16:12:00.249865,bd66790e-7297-4966-b338-50ca5d88ecc2
32992,1630397947761528834,2023-12-30 16:12:09.953231,6b28eb10-e0f7-4b80-91e3-3afa0dd2679e
32993,1003817212283686914,2023-12-30 16:12:18.754971,a452b7f9-b88a-4618-b30b-d22d68fe2dc7
32994,1689003969899630592,2023-12-30 16:12:33.348107,204fccd0-700b-418f-9fda-09944a2203bc
32995,911955635448590341,2023-12-30 16:12:42.274186,207afd78-998f-476a-95d2-d4c9ef69d29f
32996,1577870037683240969,2023-12-30 16:12:50.743787,5dde1e16-fc5a-4fb0-87c4-66dd44572fae
32997,1627756837973143553,2023-12-30 16:13:03.903916,38abde5b-f76c-4f0b-90b8-5182d4cb9f3b
32998,926115745452437505,2023-12-30 16:13:10.649139,670437f2-e792-4b6c-93b4-62730978adb3
32999,920934230099623936,2023-12-30 16:13:25.638051,4edc0079-6922-4825-9139-ac1bb9ea3b3d
33000,837005713398431744,2023-12-30 16:13:35.794072,2351f872-907c-40d5-b228-8d3e3b4a164a
33001,1113979302914211840,2023-12-30 16:13:43.561294,8003d320-19fc-4409-a03e-f40dfbd4068f
33002,675806988572319744,2023-12-30 16:13:50.830021,871e48e1-3e70-4988-844b-9dff65279fa3
33003,927648342359887873,2023-12-30 16:14:02.099311,9904b1f3-18c4-4fee-b97a-550c44bfe5b4
33004,938965027159248896,2023-12-30 16:14:07.17384,c2e6f907-197d-4811-8dba-508382e19d59
33005,1455890581734010886,2023-12-30 16:14:14.226769,7c17c4ad-8e73-4823-ba99-0d262aec3f30
33006,874667610763214848,2023-12-30 16:14:34.267929,7013150a-9747-4e67-bff4-98cf970512b3
33007,746890933904375808,2023-12-30 16:14:41.985525,6d0a7026-c512-4317-a584-9fb2e4752886
33008,1233870486670495745,2023-12-30 16:14:58.837247,0a743581-e9a1-4efb-bbf0-df6295a3decb
33009,1392227234858115078,2023-12-30 16:15:02.63139,c66407e7-3357-4a4e-8316-8eeb87a87dfc
33010,1224314158025527296,2023-12-30 16:15:10.776052,c3137337-ff26-4a6c-b5e7-19cc9e76d45f
33011,573191831363686400,2023-12-30 16:15:23.474655,ea6881c2-13a9-45d4-89e8-db61e4854364
33012,1003817212283686914,2023-12-30 16:15:27.788264,bb692ea9-ecb9-4d06-99f0-879c2c762365
33013,768286842991022080,2023-12-30 16:15:35.987029,e6696a76-2eee-4228-bdc8-d649a874e8c6
33014,248065287541366784,2023-12-30 16:15:43.663856,08f32491-2780-4c44-9e8f-1e373ba24665
33015,598204691374280704,2023-12-30 16:15:50.771597,9845d5fa-5d52-40e5-b7b9-47297bffb560
33016,944662386820222977,2023-12-30 16:15:59.585542,9df030cf-cf83-4e4d-a2a7-1a567a52c1a6
33017,1491429236422627332,2023-12-30 17:17:29.067344,14b1e8b1-8542-4ff3-b18f-9aeca48638bc
33018,1095996361764270080,2023-12-30 17:18:08.827105,c1aed93c-f499-40ee-898e-73444a81625b
33019,248065287541366784,2023-12-30 17:18:38.741336,d69d1e08-255f-4771-9c33-76b4fe9e9f1b
